Observation station;Year;Month;Day;Time [Local time];Long wave solar radiation mean [kJ/m2];Long wave outgoing solar radiation mean [kJ/m2];Global radiation mean [W/m2];Reflected radiation mean [W/m2]
Sodankylä Tähtelä;2023;02;01;00:00;263.3;271.6;-0.3;-0.2
Sodankylä Tähtelä;2023;02;01;01:00;284;283.3;0.1;-0.3
Sodankylä Tähtelä;2023;02;01;02:00;277;283.6;-0.2;-0.3
Sodankylä Tähtelä;2023;02;01;03:00;272.1;282.3;-0.4;-0.2
Sodankylä Tähtelä;2023;02;01;04:00;253.8;274;-0.7;-0.3
Sodankylä Tähtelä;2023;02;01;05:00;260.5;275.9;-0.6;-0.4
Sodankylä Tähtelä;2023;02;01;06:00;247.7;269.3;-0.7;-0.2
Sodankylä Tähtelä;2023;02;01;07:00;243.4;264.7;-0.9;-0.3
Sodankylä Tähtelä;2023;02;01;08:00;265.9;273.6;-0.5;-0.2
Sodankylä Tähtelä;2023;02;01;09:00;263.3;275.3;-0.4;0
Sodankylä Tähtelä;2023;02;01;10:00;260.3;274.2;5.7;4.5
Sodankylä Tähtelä;2023;02;01;11:00;236.6;266.5;24.7;19
Sodankylä Tähtelä;2023;02;01;12:00;249.2;270;47.1;35
Sodankylä Tähtelä;2023;02;01;13:00;285.3;287.6;35.2;27.7
Sodankylä Tähtelä;2023;02;01;14:00;283.6;290.5;39;30.6
Sodankylä Tähtelä;2023;02;01;15:00;288.7;292.9;16.4;13
Sodankylä Tähtelä;2023;02;01;16:00;287.8;294.6;3.2;2.8
Sodankylä Tähtelä;2023;02;01;17:00;284.8;294.7;-0.5;-0.1
Sodankylä Tähtelä;2023;02;01;18:00;294.6;298.8;-0.3;-0.1
Sodankylä Tähtelä;2023;02;01;19:00;293;299.8;-0.7;-0.1
Sodankylä Tähtelä;2023;02;01;20:00;293.7;300.1;-0.6;-0.2
Sodankylä Tähtelä;2023;02;01;21:00;291;299.2;-0.8;-0.1
Sodankylä Tähtelä;2023;02;01;22:00;281.1;295.6;-0.9;-0.1
