Observation station;Year;Month;Day;Time [Local time];Snow depth [cm];Precipitation amount [mm];Average temperature [°C]
Sodankylä Tähtelä;2000;11;01;02:00;10;2.6;-2.1
Sodankylä Tähtelä;2000;11;02;02:00;11;4.8;-1.3
Sodankylä Tähtelä;2000;11;03;02:00;17;1.8;-3.4
Sodankylä Tähtelä;2000;11;04;02:00;17;4.9;-0.7
Sodankylä Tähtelä;2000;11;05;02:00;11;4.9;3
Sodankylä Tähtelä;2000;11;06;02:00;5;8.3;2.1
Sodankylä Tähtelä;2000;11;07;02:00;4;0.2;0.3
Sodankylä Tähtelä;2000;11;08;02:00;4;1.1;1.2
Sodankylä Tähtelä;2000;11;09;02:00;3;1.6;1.5
Sodankylä Tähtelä;2000;11;10;02:00;3;0.3;3.7
Sodankylä Tähtelä;2000;11;11;02:00;1;0.4;1.5
Sodankylä Tähtelä;2000;11;12;02:00;0;3.6;1.4
Sodankylä Tähtelä;2000;11;13;02:00;0;0.1;2.1
Sodankylä Tähtelä;2000;11;14;02:00;0;3;1.7
Sodankylä Tähtelä;2000;11;15;02:00;-1;0.1;1.1
Sodankylä Tähtelä;2000;11;16;02:00;0;0.2;-2.2
Sodankylä Tähtelä;2000;11;17;02:00;0;0.3;-4.3
Sodankylä Tähtelä;2000;11;18;02:00;2;0.3;-4.4
Sodankylä Tähtelä;2000;11;19;02:00;2;0.1;-9.2
Sodankylä Tähtelä;2000;11;20;02:00;2;0.1;-12
Sodankylä Tähtelä;2000;11;21;02:00;2;0;-17.7
Sodankylä Tähtelä;2000;11;22;02:00;2;0.1;-18
Sodankylä Tähtelä;2000;11;23;02:00;2;0.5;-8.9
Sodankylä Tähtelä;2000;11;24;02:00;2;0.1;-1.4
Sodankylä Tähtelä;2000;11;25;02:00;2;0.4;0.6
Sodankylä Tähtelä;2000;11;26;02:00;1;0.1;0.3
Sodankylä Tähtelä;2000;11;27;02:00;1;0.1;0.4
Sodankylä Tähtelä;2000;11;28;02:00;1;0.6;0.3
Sodankylä Tähtelä;2000;11;29;02:00;1;1.3;-1.8
Sodankylä Tähtelä;2000;11;30;02:00;3;0.3;-3.3
Sodankylä Tähtelä;2000;12;01;02:00;3;1.1;-2.8
Sodankylä Tähtelä;2000;12;02;02:00;5;5.8;-2.8
Sodankylä Tähtelä;2000;12;03;02:00;10;1.4;-3.5
Sodankylä Tähtelä;2000;12;04;02:00;11;0;-6.2
Sodankylä Tähtelä;2000;12;05;02:00;11;2.5;-4.6
Sodankylä Tähtelä;2000;12;06;02:00;11;1;2.4
Sodankylä Tähtelä;2000;12;07;02:00;4;2.8;1.1
Sodankylä Tähtelä;2000;12;08;02:00;4;0.4;-3.5
Sodankylä Tähtelä;2000;12;09;02:00;4;0;-16.1
Sodankylä Tähtelä;2000;12;10;02:00;4;0.8;-14.2
Sodankylä Tähtelä;2000;12;11;02:00;5;3.7;-10
Sodankylä Tähtelä;2000;12;12;02:00;7;1.6;-4.7
Sodankylä Tähtelä;2000;12;13;02:00;8;0.3;-7.4
Sodankylä Tähtelä;2000;12;14;02:00;8;3.2;-2.2
Sodankylä Tähtelä;2000;12;15;02:00;12;0.3;-0.9
Sodankylä Tähtelä;2000;12;16;02:00;12;0.2;-0.5
Sodankylä Tähtelä;2000;12;17;02:00;12;0.3;-3.1
Sodankylä Tähtelä;2000;12;18;02:00;12;0;-21.2
Sodankylä Tähtelä;2000;12;19;02:00;12;-1;-21
Sodankylä Tähtelä;2000;12;20;02:00;11;-1;-17.1
Sodankylä Tähtelä;2000;12;21;02:00;11;0.2;-15.1
Sodankylä Tähtelä;2000;12;22;02:00;11;0.5;-5.8
Sodankylä Tähtelä;2000;12;23;02:00;11;0.1;-10.3
Sodankylä Tähtelä;2000;12;24;02:00;12;0.1;-15.8
Sodankylä Tähtelä;2000;12;25;02:00;12;0.1;-22.5
Sodankylä Tähtelä;2000;12;26;02:00;12;0.1;-26.9
Sodankylä Tähtelä;2000;12;27;02:00;12;0.1;-25
Sodankylä Tähtelä;2000;12;28;02:00;12;3.7;-17.9
Sodankylä Tähtelä;2000;12;29;02:00;21;4.5;-17.2
Sodankylä Tähtelä;2000;12;30;02:00;26;6.9;-9.5
Sodankylä Tähtelä;2000;12;31;02:00;36;0.6;-16.5
Sodankylä Tähtelä;2001;01;01;02:00;34;0.2;-12.1
Sodankylä Tähtelä;2001;01;02;02:00;34;4.5;-4.5
Sodankylä Tähtelä;2001;01;03;02:00;31;0.1;-6
Sodankylä Tähtelä;2001;01;04;02:00;30;0.8;-5.1
Sodankylä Tähtelä;2001;01;05;02:00;30;0.1;-5.9
Sodankylä Tähtelä;2001;01;06;02:00;29;0.1;-4.7
Sodankylä Tähtelä;2001;01;07;02:00;28;1.7;-4.7
Sodankylä Tähtelä;2001;01;08;02:00;30;2;-7.4
Sodankylä Tähtelä;2001;01;09;02:00;31;0.2;-12.8
Sodankylä Tähtelä;2001;01;10;02:00;30;3.3;-10.9
Sodankylä Tähtelä;2001;01;11;02:00;34;0.6;-8.3
Sodankylä Tähtelä;2001;01;12;02:00;34;0.1;-14.8
Sodankylä Tähtelä;2001;01;13;02:00;33;0;-8.1
Sodankylä Tähtelä;2001;01;14;02:00;32;-1;1.4
Sodankylä Tähtelä;2001;01;15;02:00;30;-1;3.6
Sodankylä Tähtelä;2001;01;16;02:00;29;-1;1.1
Sodankylä Tähtelä;2001;01;17;02:00;29;-1;-1.4
Sodankylä Tähtelä;2001;01;18;02:00;29;0.1;-6.1
Sodankylä Tähtelä;2001;01;19;02:00;29;0;-4.4
Sodankylä Tähtelä;2001;01;20;02:00;29;-1;-8.4
Sodankylä Tähtelä;2001;01;21;02:00;28;0;-11.6
Sodankylä Tähtelä;2001;01;22;02:00;28;0.1;-6.8
Sodankylä Tähtelä;2001;01;23;02:00;28;0.1;-5.9
Sodankylä Tähtelä;2001;01;24;02:00;28;0.1;-14.1
Sodankylä Tähtelä;2001;01;25;02:00;29;4.9;-9.2
Sodankylä Tähtelä;2001;01;26;02:00;32;0.1;-1.8
Sodankylä Tähtelä;2001;01;27;02:00;32;0.2;-0.2
Sodankylä Tähtelä;2001;01;28;02:00;31;4.1;-2.7
Sodankylä Tähtelä;2001;01;29;02:00;35;0.5;-7.4
Sodankylä Tähtelä;2001;01;30;02:00;36;0.6;-15.4
Sodankylä Tähtelä;2001;01;31;02:00;37;0.1;-16.1
Sodankylä Tähtelä;2001;02;01;02:00;37;0.1;-27.4
Sodankylä Tähtelä;2001;02;02;02:00;36;0;-22.4
Sodankylä Tähtelä;2001;02;03;02:00;36;0.1;-26.3
Sodankylä Tähtelä;2001;02;04;02:00;36;0.9;-22
Sodankylä Tähtelä;2001;02;05;02:00;36;1.5;-16.6
Sodankylä Tähtelä;2001;02;06;02:00;39;3.4;-17.4
Sodankylä Tähtelä;2001;02;07;02:00;41;3.8;-18.5
Sodankylä Tähtelä;2001;02;08;02:00;45;4.6;-9.6
Sodankylä Tähtelä;2001;02;09;02:00;50;-1;-21.6
Sodankylä Tähtelä;2001;02;10;02:00;49;-1;-17.4
Sodankylä Tähtelä;2001;02;11;02:00;49;0.1;-8.1
Sodankylä Tähtelä;2001;02;12;02:00;47;1;-6.6
Sodankylä Tähtelä;2001;02;13;02:00;49;3.9;-6.7
Sodankylä Tähtelä;2001;02;14;02:00;51;0.4;-1
Sodankylä Tähtelä;2001;02;15;02:00;49;-1;-3
Sodankylä Tähtelä;2001;02;16;02:00;49;0;-5.1
Sodankylä Tähtelä;2001;02;17;02:00;48;8.8;-1.7
Sodankylä Tähtelä;2001;02;18;02:00;57;1;-2.1
Sodankylä Tähtelä;2001;02;19;02:00;55;4.5;-2.7
Sodankylä Tähtelä;2001;02;20;02:00;59;4.4;-10.5
Sodankylä Tähtelä;2001;02;21;02:00;68;0;-18.6
Sodankylä Tähtelä;2001;02;22;02:00;67;-1;-31.2
Sodankylä Tähtelä;2001;02;23;02:00;66;-1;-30.1
Sodankylä Tähtelä;2001;02;24;02:00;64;0;-26.9
Sodankylä Tähtelä;2001;02;25;02:00;63;3;-20.1
Sodankylä Tähtelä;2001;02;26;02:00;64;0.6;-14.5
Sodankylä Tähtelä;2001;02;27;02:00;64;0.4;-20.5
Sodankylä Tähtelä;2001;02;28;02:00;63;0;-26.3
Sodankylä Tähtelä;2001;03;01;02:00;62;0;-28.6
Sodankylä Tähtelä;2001;03;02;02:00;61;1.3;-27.5
Sodankylä Tähtelä;2001;03;03;02:00;61;7.4;-13
Sodankylä Tähtelä;2001;03;04;02:00;66;1;-15.4
Sodankylä Tähtelä;2001;03;05;02:00;66;0.6;-18.2
Sodankylä Tähtelä;2001;03;06;02:00;66;0.7;-14.9
Sodankylä Tähtelä;2001;03;07;02:00;66;0;-9.5
Sodankylä Tähtelä;2001;03;08;02:00;65;0.4;-15.9
Sodankylä Tähtelä;2001;03;09;02:00;64;0.1;-8.1
Sodankylä Tähtelä;2001;03;10;02:00;63;0.1;-5
Sodankylä Tähtelä;2001;03;11;02:00;63;1.4;-8.6
Sodankylä Tähtelä;2001;03;12;02:00;63;0.1;-4.8
Sodankylä Tähtelä;2001;03;13;02:00;62;0;-9.7
Sodankylä Tähtelä;2001;03;14;02:00;61;0.9;-11.8
Sodankylä Tähtelä;2001;03;15;02:00;62;-1;-11.1
Sodankylä Tähtelä;2001;03;16;02:00;62;0;-15.6
Sodankylä Tähtelä;2001;03;17;02:00;62;0;-18.7
Sodankylä Tähtelä;2001;03;18;02:00;62;-1;-17.3
Sodankylä Tähtelä;2001;03;19;02:00;61;0;-13.5
Sodankylä Tähtelä;2001;03;20;02:00;61;0.1;-13.5
Sodankylä Tähtelä;2001;03;21;02:00;61;0.6;-11.7
Sodankylä Tähtelä;2001;03;22;02:00;61;0;-13.5
Sodankylä Tähtelä;2001;03;23;02:00;61;0;-8.3
Sodankylä Tähtelä;2001;03;24;02:00;61;-1;-9
Sodankylä Tähtelä;2001;03;25;02:00;60;0.2;-10.1
Sodankylä Tähtelä;2001;03;26;03:00;61;0.1;-12.2
Sodankylä Tähtelä;2001;03;27;03:00;61;0;-17.3
Sodankylä Tähtelä;2001;03;28;03:00;61;-1;-17.1
Sodankylä Tähtelä;2001;03;29;03:00;61;0;-6.6
Sodankylä Tähtelä;2001;03;30;03:00;60;1.6;-3.1
Sodankylä Tähtelä;2001;03;31;03:00;61;-1;-3.4
Sodankylä Tähtelä;2001;04;01;03:00;60;2.8;-8
Sodankylä Tähtelä;2001;04;02;03:00;64;0.3;-0.5
Sodankylä Tähtelä;2001;04;03;03:00;63;1.2;-6.2
Sodankylä Tähtelä;2001;04;04;03:00;65;5.3;-10.4
Sodankylä Tähtelä;2001;04;05;03:00;72;0.7;-4.8
Sodankylä Tähtelä;2001;04;06;03:00;70;2.9;1.3
Sodankylä Tähtelä;2001;04;07;03:00;65;-1;-0.9
Sodankylä Tähtelä;2001;04;08;03:00;63;3.6;-5.3
Sodankylä Tähtelä;2001;04;09;03:00;66;17.9;-0.1
Sodankylä Tähtelä;2001;04;10;03:00;73;1.3;-0.5
Sodankylä Tähtelä;2001;04;11;03:00;71;0;-2.2
Sodankylä Tähtelä;2001;04;12;03:00;70;0;-7.6
Sodankylä Tähtelä;2001;04;13;03:00;70;-1;-10.3
Sodankylä Tähtelä;2001;04;14;03:00;70;-1;-10.2
Sodankylä Tähtelä;2001;04;15;03:00;70;9.1;-8.1
Sodankylä Tähtelä;2001;04;16;03:00;80;3.1;-1.8
Sodankylä Tähtelä;2001;04;17;03:00;82;0;-3.2
Sodankylä Tähtelä;2001;04;18;03:00;80;5.6;-5.3
Sodankylä Tähtelä;2001;04;19;03:00;84;1;-0.3
Sodankylä Tähtelä;2001;04;20;03:00;80;-1;-1.8
Sodankylä Tähtelä;2001;04;21;03:00;78;0;1.2
Sodankylä Tähtelä;2001;04;22;03:00;75;-1;3.4
Sodankylä Tähtelä;2001;04;23;03:00;70;-1;3.4
Sodankylä Tähtelä;2001;04;24;03:00;67;0.7;1.9
Sodankylä Tähtelä;2001;04;25;03:00;63;0.3;4.3
Sodankylä Tähtelä;2001;04;26;03:00;55;10.8;3
Sodankylä Tähtelä;2001;04;27;03:00;48;1.6;3.9
Sodankylä Tähtelä;2001;04;28;03:00;42;2.3;5.3
Sodankylä Tähtelä;2001;04;29;03:00;34;0;4.4
Sodankylä Tähtelä;2001;04;30;03:00;30;0;4.3
Sodankylä Tähtelä;2001;05;01;03:00;26;0.1;4.8
Sodankylä Tähtelä;2001;05;02;03:00;25;-1;4.3
Sodankylä Tähtelä;2001;05;03;03:00;21;0;6.5
Sodankylä Tähtelä;2001;05;04;03:00;16;-1;5.8
Sodankylä Tähtelä;2001;05;05;03:00;11;-1;4
Sodankylä Tähtelä;2001;05;06;03:00;9;0.1;2.9
Sodankylä Tähtelä;2001;05;07;03:00;6;0;5.2
Sodankylä Tähtelä;2001;05;08;03:00;2;-1;12.5
Sodankylä Tähtelä;2001;05;09;03:00;0;0.1;8.9
Sodankylä Tähtelä;2001;05;10;03:00;-1;0;4.6
Sodankylä Tähtelä;2001;05;11;03:00;-1;0.1;2.5
Sodankylä Tähtelä;2001;05;12;03:00;-1;3.4;4.8
Sodankylä Tähtelä;2001;05;13;03:00;-1;0;6.7
Sodankylä Tähtelä;2001;05;14;03:00;-1;0.6;4.5
Sodankylä Tähtelä;2001;05;15;03:00;-1;0;4.9
Sodankylä Tähtelä;2001;05;16;03:00;-1;0;5.5
Sodankylä Tähtelä;2001;05;17;03:00;-1;0.4;8.6
Sodankylä Tähtelä;2001;05;18;03:00;-1;5.1;2.8
Sodankylä Tähtelä;2001;05;19;03:00;-1;2.6;2.8
Sodankylä Tähtelä;2001;05;20;03:00;-1;0.3;2.8
Sodankylä Tähtelä;2001;05;21;03:00;-1;-1;1.2
Sodankylä Tähtelä;2001;05;22;03:00;-1;1.8;1.8
Sodankylä Tähtelä;2001;05;23;03:00;1;7.5;0.6
Sodankylä Tähtelä;2001;05;24;03:00;0;0.5;1.6
Sodankylä Tähtelä;2001;05;25;03:00;-1;0.1;1.1
Sodankylä Tähtelä;2001;05;26;03:00;-1;2.8;2.2
Sodankylä Tähtelä;2001;05;27;03:00;1;0.8;1.2
Sodankylä Tähtelä;2001;05;28;03:00;-1;0.1;1.3
Sodankylä Tähtelä;2001;05;29;03:00;-1;0;0.7
Sodankylä Tähtelä;2001;05;30;03:00;-1;-1;6.2
Sodankylä Tähtelä;2001;05;31;03:00;-1;-1;8.2
Sodankylä Tähtelä;2001;06;01;03:00;-1;-1;10.8
Sodankylä Tähtelä;2001;06;02;03:00;-1;-1;13.3
Sodankylä Tähtelä;2001;06;03;03:00;-1;1.4;11.8
Sodankylä Tähtelä;2001;06;04;03:00;-1;1.8;6.8
Sodankylä Tähtelä;2001;06;05;03:00;-1;0;7.2
Sodankylä Tähtelä;2001;06;06;03:00;-1;0;12.6
Sodankylä Tähtelä;2001;06;07;03:00;-1;-1;14.6
Sodankylä Tähtelä;2001;06;08;03:00;-1;2.5;14
Sodankylä Tähtelä;2001;06;09;03:00;-1;1.7;13.5
Sodankylä Tähtelä;2001;06;10;03:00;-1;1.6;15.6
Sodankylä Tähtelä;2001;06;11;03:00;-1;1.8;10.7
Sodankylä Tähtelä;2001;06;12;03:00;-1;0.1;11.8
Sodankylä Tähtelä;2001;06;13;03:00;-1;4.6;13.9
Sodankylä Tähtelä;2001;06;14;03:00;-1;-1;15.2
Sodankylä Tähtelä;2001;06;15;03:00;-1;7.4;13.3
Sodankylä Tähtelä;2001;06;16;03:00;-1;3;12.2
Sodankylä Tähtelä;2001;06;17;03:00;-1;4.1;13.3
Sodankylä Tähtelä;2001;06;18;03:00;-1;0.9;11
Sodankylä Tähtelä;2001;06;19;03:00;-1;-1;14
Sodankylä Tähtelä;2001;06;20;03:00;-1;-1;16.4
Sodankylä Tähtelä;2001;06;21;03:00;-1;0;16.6
Sodankylä Tähtelä;2001;06;22;03:00;-1;-1;16.9
Sodankylä Tähtelä;2001;06;23;03:00;-1;-1;18.5
Sodankylä Tähtelä;2001;06;24;03:00;-1;-1;16.7
Sodankylä Tähtelä;2001;06;25;03:00;-1;-1;12.9
Sodankylä Tähtelä;2001;06;26;03:00;-1;-1;14.3
Sodankylä Tähtelä;2001;06;27;03:00;-1;2.2;12.4
Sodankylä Tähtelä;2001;06;28;03:00;-1;0;15.5
Sodankylä Tähtelä;2001;06;29;03:00;-1;5.4;16.1
Sodankylä Tähtelä;2001;06;30;03:00;-1;0.8;12.6
Sodankylä Tähtelä;2001;07;01;03:00;-1;2.7;14.1
Sodankylä Tähtelä;2001;07;02;03:00;-1;2.6;16.4
Sodankylä Tähtelä;2001;07;03;03:00;-1;0;14.2
Sodankylä Tähtelä;2001;07;04;03:00;-1;-1;15.7
Sodankylä Tähtelä;2001;07;05;03:00;-1;10.5;13.4
Sodankylä Tähtelä;2001;07;06;03:00;-1;-1;12.6
Sodankylä Tähtelä;2001;07;07;03:00;-1;0.2;16.1
Sodankylä Tähtelä;2001;07;08;03:00;-1;-1;17
Sodankylä Tähtelä;2001;07;09;03:00;-1;0.1;19.5
Sodankylä Tähtelä;2001;07;10;03:00;-1;3.9;23.2
Sodankylä Tähtelä;2001;07;11;03:00;-1;5.1;19.2
Sodankylä Tähtelä;2001;07;12;03:00;-1;3.3;18.9
Sodankylä Tähtelä;2001;07;13;03:00;-1;7.1;15.5
Sodankylä Tähtelä;2001;07;14;03:00;-1;4.1;15.4
Sodankylä Tähtelä;2001;07;15;03:00;-1;1.6;15.6
Sodankylä Tähtelä;2001;07;16;03:00;-1;0.8;15.2
Sodankylä Tähtelä;2001;07;17;03:00;-1;22.3;12.8
Sodankylä Tähtelä;2001;07;18;03:00;-1;14.2;11.4
Sodankylä Tähtelä;2001;07;19;03:00;-1;18.2;17
Sodankylä Tähtelä;2001;07;20;03:00;-1;1.1;17.5
Sodankylä Tähtelä;2001;07;21;03:00;-1;0.2;13.3
Sodankylä Tähtelä;2001;07;22;03:00;-1;0.1;9.7
Sodankylä Tähtelä;2001;07;23;03:00;-1;0.5;11.1
Sodankylä Tähtelä;2001;07;24;03:00;-1;-1;14.4
Sodankylä Tähtelä;2001;07;25;03:00;-1;1.1;16.3
Sodankylä Tähtelä;2001;07;26;03:00;-1;2.5;14.4
Sodankylä Tähtelä;2001;07;27;03:00;-1;0.3;14.5
Sodankylä Tähtelä;2001;07;28;03:00;-1;3.2;11
Sodankylä Tähtelä;2001;07;29;03:00;-1;4.7;10.4
Sodankylä Tähtelä;2001;07;30;03:00;-1;8;14.7
Sodankylä Tähtelä;2001;07;31;03:00;-1;5.4;11.8
Sodankylä Tähtelä;2001;08;01;03:00;-1;1;9.8
Sodankylä Tähtelä;2001;08;02;03:00;-1;0;8.4
Sodankylä Tähtelä;2001;08;03;03:00;-1;0;10
Sodankylä Tähtelä;2001;08;04;03:00;-1;-1;12.8
Sodankylä Tähtelä;2001;08;05;03:00;-1;4.6;12.5
Sodankylä Tähtelä;2001;08;06;03:00;-1;3.2;13.4
Sodankylä Tähtelä;2001;08;07;03:00;-1;0.5;12.7
Sodankylä Tähtelä;2001;08;08;03:00;-1;0.3;14.6
Sodankylä Tähtelä;2001;08;09;03:00;-1;0.7;15.4
Sodankylä Tähtelä;2001;08;10;03:00;-1;2.8;15.9
Sodankylä Tähtelä;2001;08;11;03:00;-1;0.1;14.4
Sodankylä Tähtelä;2001;08;12;03:00;-1;9.7;13.5
Sodankylä Tähtelä;2001;08;13;03:00;-1;0.1;13.1
Sodankylä Tähtelä;2001;08;14;03:00;-1;5.9;11.4
Sodankylä Tähtelä;2001;08;15;03:00;-1;2;12.2
Sodankylä Tähtelä;2001;08;16;03:00;-1;0;15
Sodankylä Tähtelä;2001;08;17;03:00;-1;2.7;15.8
Sodankylä Tähtelä;2001;08;18;03:00;-1;3.3;12.1
Sodankylä Tähtelä;2001;08;19;03:00;-1;0.9;9.5
Sodankylä Tähtelä;2001;08;20;03:00;-1;-1;7.5
Sodankylä Tähtelä;2001;08;21;03:00;-1;-1;8.4
Sodankylä Tähtelä;2001;08;22;03:00;-1;0;11
Sodankylä Tähtelä;2001;08;23;03:00;-1;0.1;12.8
Sodankylä Tähtelä;2001;08;24;03:00;-1;-1;9.9
Sodankylä Tähtelä;2001;08;25;03:00;-1;-1;7.9
Sodankylä Tähtelä;2001;08;26;03:00;-1;-1;8.3
Sodankylä Tähtelä;2001;08;27;03:00;-1;-1;7.7
Sodankylä Tähtelä;2001;08;28;03:00;-1;-1;10.3
Sodankylä Tähtelä;2001;08;29;03:00;-1;-1;10.6
Sodankylä Tähtelä;2001;08;30;03:00;-1;-1;10.3
Sodankylä Tähtelä;2001;08;31;03:00;-1;0;10.4
Sodankylä Tähtelä;2001;09;01;03:00;-1;0;11.1
Sodankylä Tähtelä;2001;09;02;03:00;-1;2.1;10.4
Sodankylä Tähtelä;2001;09;03;03:00;-1;-1;9.2
Sodankylä Tähtelä;2001;09;04;03:00;-1;12.2;6.1
Sodankylä Tähtelä;2001;09;05;03:00;-1;11.7;9.4
Sodankylä Tähtelä;2001;09;06;03:00;-1;7.3;10.5
Sodankylä Tähtelä;2001;09;07;03:00;-1;2.7;11.5
Sodankylä Tähtelä;2001;09;08;03:00;-1;0;12.1
Sodankylä Tähtelä;2001;09;09;03:00;-1;2.6;12.6
Sodankylä Tähtelä;2001;09;10;03:00;-1;0;12.5
Sodankylä Tähtelä;2001;09;11;03:00;-1;2.3;12.6
Sodankylä Tähtelä;2001;09;12;03:00;-1;-1;12.4
Sodankylä Tähtelä;2001;09;13;03:00;-1;0.1;10.3
Sodankylä Tähtelä;2001;09;14;03:00;-1;9.9;11.3
Sodankylä Tähtelä;2001;09;15;03:00;-1;4.3;11.2
Sodankylä Tähtelä;2001;09;16;03:00;-1;6.8;11.2
Sodankylä Tähtelä;2001;09;17;03:00;-1;-1;10.1
Sodankylä Tähtelä;2001;09;18;03:00;-1;-1;9.1
Sodankylä Tähtelä;2001;09;19;03:00;-1;-1;9.5
Sodankylä Tähtelä;2001;09;20;03:00;-1;0;11.8
Sodankylä Tähtelä;2001;09;21;03:00;-1;0.9;13.1
Sodankylä Tähtelä;2001;09;22;03:00;-1;0.2;7
Sodankylä Tähtelä;2001;09;23;03:00;-1;-1;1.1
Sodankylä Tähtelä;2001;09;24;03:00;-1;-1;0.5
Sodankylä Tähtelä;2001;09;25;03:00;-1;0;3.2
Sodankylä Tähtelä;2001;09;26;03:00;-1;0;1.1
Sodankylä Tähtelä;2001;09;27;03:00;-1;3.3;1.2
Sodankylä Tähtelä;2001;09;28;03:00;4;1.4;0.1
Sodankylä Tähtelä;2001;09;29;03:00;2;-1;1.8
Sodankylä Tähtelä;2001;09;30;03:00;-1;-1;-0.4
Sodankylä Tähtelä;2001;10;01;03:00;-1;11.7;-0.3
Sodankylä Tähtelä;2001;10;02;03:00;1;2.8;2.6
Sodankylä Tähtelä;2001;10;03;03:00;-1;1.3;1.8
Sodankylä Tähtelä;2001;10;04;03:00;-1;0.1;2.6
Sodankylä Tähtelä;2001;10;05;03:00;-1;0.8;1.6
Sodankylä Tähtelä;2001;10;06;03:00;-1;0;0.8
Sodankylä Tähtelä;2001;10;07;03:00;-1;2.6;0.3
Sodankylä Tähtelä;2001;10;08;03:00;0;5.9;2.6
Sodankylä Tähtelä;2001;10;09;03:00;-1;0.1;1.8
Sodankylä Tähtelä;2001;10;10;03:00;-1;0.4;1.1
Sodankylä Tähtelä;2001;10;11;03:00;-1;2.2;0.9
Sodankylä Tähtelä;2001;10;12;03:00;-1;1.9;2
Sodankylä Tähtelä;2001;10;13;03:00;-1;2.1;4.4
Sodankylä Tähtelä;2001;10;14;03:00;-1;-1;3.6
Sodankylä Tähtelä;2001;10;15;03:00;-1;0;5.4
Sodankylä Tähtelä;2001;10;16;03:00;-1;0;2.5
Sodankylä Tähtelä;2001;10;17;03:00;-1;1.7;-1.8
Sodankylä Tähtelä;2001;10;18;03:00;-1;4.5;1.8
Sodankylä Tähtelä;2001;10;19;03:00;1;0.4;1.4
Sodankylä Tähtelä;2001;10;20;03:00;1;0.1;-0.1
Sodankylä Tähtelä;2001;10;21;03:00;-1;6.1;0.6
Sodankylä Tähtelä;2001;10;22;03:00;1;-1;-3.9
Sodankylä Tähtelä;2001;10;23;03:00;1;-1;-4.5
Sodankylä Tähtelä;2001;10;24;03:00;1;-1;-5.1
Sodankylä Tähtelä;2001;10;25;03:00;1;0;-6.7
Sodankylä Tähtelä;2001;10;26;03:00;1;-1;0.5
Sodankylä Tähtelä;2001;10;27;03:00;-1;8.8;2.9
Sodankylä Tähtelä;2001;10;28;03:00;-1;1.8;0.2
Sodankylä Tähtelä;2001;10;29;02:00;3;0.2;-3.1
Sodankylä Tähtelä;2001;10;30;02:00;2;0.1;-6.1
Sodankylä Tähtelä;2001;10;31;02:00;2;0.1;-6.2
Sodankylä Tähtelä;2001;11;01;02:00;2;0.1;-6.6
Sodankylä Tähtelä;2001;11;02;02:00;2;0.1;-6.5
Sodankylä Tähtelä;2001;11;03;02:00;2;0.2;-2
Sodankylä Tähtelä;2001;11;04;02:00;2;1;-3.7
Sodankylä Tähtelä;2001;11;05;02:00;3;-1;-11.8
Sodankylä Tähtelä;2001;11;06;02:00;3;3.5;-14.4
Sodankylä Tähtelä;2001;11;07;02:00;8;0;-7.2
Sodankylä Tähtelä;2001;11;08;02:00;7;1;-15
Sodankylä Tähtelä;2001;11;09;02:00;7;0.5;-12.8
Sodankylä Tähtelä;2001;11;10;02:00;8;2.1;-12
Sodankylä Tähtelä;2001;11;11;02:00;9;0.6;-2.3
Sodankylä Tähtelä;2001;11;12;02:00;9;0;-7.2
Sodankylä Tähtelä;2001;11;13;02:00;9;0.3;-19.9
Sodankylä Tähtelä;2001;11;14;02:00;9;1.8;-19.4
Sodankylä Tähtelä;2001;11;15;02:00;10;5.3;-10.3
Sodankylä Tähtelä;2001;11;16;02:00;16;0.9;-11
Sodankylä Tähtelä;2001;11;17;02:00;16;2.5;-6.2
Sodankylä Tähtelä;2001;11;18;02:00;17;0.1;-10.4
Sodankylä Tähtelä;2001;11;19;02:00;16;0.1;-15.1
Sodankylä Tähtelä;2001;11;20;02:00;16;0.1;-9.1
Sodankylä Tähtelä;2001;11;21;02:00;15;4.3;-0.1
Sodankylä Tähtelä;2001;11;22;02:00;19;1;-7.3
Sodankylä Tähtelä;2001;11;23;02:00;20;0;-11
Sodankylä Tähtelä;2001;11;24;02:00;20;0.2;-5.2
Sodankylä Tähtelä;2001;11;25;02:00;19;0.4;-3.5
Sodankylä Tähtelä;2001;11;26;02:00;19;1;-3.3
Sodankylä Tähtelä;2001;11;27;02:00;19;0.3;-1.7
Sodankylä Tähtelä;2001;11;28;02:00;19;0.4;-0.2
Sodankylä Tähtelä;2001;11;29;02:00;20;0.1;-1.7
Sodankylä Tähtelä;2001;11;30;02:00;20;0.3;-2.9
Sodankylä Tähtelä;2001;12;01;02:00;20;0.1;-4.9
Sodankylä Tähtelä;2001;12;02;02:00;19;0.3;-3
Sodankylä Tähtelä;2001;12;03;02:00;19;3.8;-1.3
Sodankylä Tähtelä;2001;12;04;02:00;23;0.2;-0.7
Sodankylä Tähtelä;2001;12;05;02:00;23;0;-9.5
Sodankylä Tähtelä;2001;12;06;02:00;23;0.2;-23
Sodankylä Tähtelä;2001;12;07;02:00;24;0.2;-11.1
Sodankylä Tähtelä;2001;12;08;02:00;24;2;-5.1
Sodankylä Tähtelä;2001;12;09;02:00;25;-1;-3.6
Sodankylä Tähtelä;2001;12;10;02:00;25;1;-9.8
Sodankylä Tähtelä;2001;12;11;02:00;24;0.1;-3.2
Sodankylä Tähtelä;2001;12;12;02:00;23;0.4;-1.8
Sodankylä Tähtelä;2001;12;13;02:00;23;-1;-2.5
