Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
"Sodankylä Tähtelä","2017","11","01","16:20","6"
"Sodankylä Tähtelä","2017","11","01","16:30","6"
"Sodankylä Tähtelä","2017","11","01","16:40","6"
"Sodankylä Tähtelä","2017","11","01","16:50","6"
"Sodankylä Tähtelä","2017","11","01","17:00","6"
"Sodankylä Tähtelä","2017","11","01","17:10","6"
"Sodankylä Tähtelä","2017","11","01","17:20","6"
"Sodankylä Tähtelä","2017","11","01","17:30","6.8"
"Sodankylä Tähtelä","2017","11","01","17:40","7"
"Sodankylä Tähtelä","2017","11","01","17:50","7"
"Sodankylä Tähtelä","2017","11","01","18:00","7"
"Sodankylä Tähtelä","2017","11","01","18:10","7"
"Sodankylä Tähtelä","2017","11","01","18:20","7"
"Sodankylä Tähtelä","2017","11","01","18:30","7"
"Sodankylä Tähtelä","2017","11","01","18:40","6.6"
"Sodankylä Tähtelä","2017","11","01","18:50","6"
"Sodankylä Tähtelä","2017","11","01","19:00","6.7"
"Sodankylä Tähtelä","2017","11","01","19:10","6.4"
"Sodankylä Tähtelä","2017","11","01","19:20","6"
"Sodankylä Tähtelä","2017","11","01","19:30","6"
"Sodankylä Tähtelä","2017","11","01","19:40","6.1"
"Sodankylä Tähtelä","2017","11","01","19:50","6.4"
"Sodankylä Tähtelä","2017","11","01","20:00","6.7"
"Sodankylä Tähtelä","2017","11","01","20:10","6.5"
"Sodankylä Tähtelä","2017","11","01","20:20","7"
"Sodankylä Tähtelä","2017","11","01","20:30","7"
"Sodankylä Tähtelä","2017","11","01","20:40","6"
"Sodankylä Tähtelä","2017","11","01","20:50","6"
"Sodankylä Tähtelä","2017","11","01","21:00","6"
"Sodankylä Tähtelä","2017","11","01","21:10","6.5"
"Sodankylä Tähtelä","2017","11","01","21:20","6"
"Sodankylä Tähtelä","2017","11","01","21:30","6"
"Sodankylä Tähtelä","2017","11","01","21:40","6"
"Sodankylä Tähtelä","2017","11","01","21:50","7"
"Sodankylä Tähtelä","2017","11","01","22:00","7"
"Sodankylä Tähtelä","2017","11","01","22:10","6.3"
"Sodankylä Tähtelä","2017","11","01","22:20","6"
"Sodankylä Tähtelä","2017","11","01","22:30","6"
"Sodankylä Tähtelä","2017","11","01","22:40","6"
"Sodankylä Tähtelä","2017","11","01","22:50","6"
"Sodankylä Tähtelä","2017","11","01","23:00","6"
"Sodankylä Tähtelä","2017","11","01","23:10","6"
"Sodankylä Tähtelä","2017","11","01","23:20","6"
"Sodankylä Tähtelä","2017","11","01","23:30","6.1"
"Sodankylä Tähtelä","2017","11","01","23:40","6.1"
"Sodankylä Tähtelä","2017","11","01","23:50","6.9"
"Sodankylä Tähtelä","2017","11","02","00:00","7"
"Sodankylä Tähtelä","2017","11","02","00:10","6.2"
"Sodankylä Tähtelä","2017","11","02","00:20","6.4"
"Sodankylä Tähtelä","2017","11","02","00:30","7"
"Sodankylä Tähtelä","2017","11","02","00:40","7"
"Sodankylä Tähtelä","2017","11","02","00:50","7"
"Sodankylä Tähtelä","2017","11","02","01:00","7"
"Sodankylä Tähtelä","2017","11","02","01:10","7"
"Sodankylä Tähtelä","2017","11","02","01:20","7"
"Sodankylä Tähtelä","2017","11","02","01:30","7"
"Sodankylä Tähtelä","2017","11","02","01:40","7"
"Sodankylä Tähtelä","2017","11","02","01:50","7"
"Sodankylä Tähtelä","2017","11","02","02:00","7"
"Sodankylä Tähtelä","2017","11","02","02:10","7"
"Sodankylä Tähtelä","2017","11","02","02:20","7"
"Sodankylä Tähtelä","2017","11","02","02:30","7"
"Sodankylä Tähtelä","2017","11","02","02:40","6.5"
"Sodankylä Tähtelä","2017","11","02","02:50","6.5"
"Sodankylä Tähtelä","2017","11","02","03:00","7"
"Sodankylä Tähtelä","2017","11","02","03:10","7"
"Sodankylä Tähtelä","2017","11","02","03:20","7"
"Sodankylä Tähtelä","2017","11","02","03:30","7"
"Sodankylä Tähtelä","2017","11","02","03:40","7"
"Sodankylä Tähtelä","2017","11","02","03:50","6.7"
"Sodankylä Tähtelä","2017","11","02","04:00","6.7"
"Sodankylä Tähtelä","2017","11","02","04:10","7"
"Sodankylä Tähtelä","2017","11","02","04:20","7"
"Sodankylä Tähtelä","2017","11","02","04:30","7"
"Sodankylä Tähtelä","2017","11","02","04:40","6.6"
"Sodankylä Tähtelä","2017","11","02","04:50","6.6"
"Sodankylä Tähtelä","2017","11","02","05:00","7"
"Sodankylä Tähtelä","2017","11","02","05:10","7"
"Sodankylä Tähtelä","2017","11","02","05:20","7"
"Sodankylä Tähtelä","2017","11","02","05:30","7"
"Sodankylä Tähtelä","2017","11","02","05:40","7"
"Sodankylä Tähtelä","2017","11","02","05:50","7"
"Sodankylä Tähtelä","2017","11","02","06:00","7"
"Sodankylä Tähtelä","2017","11","02","06:10","7"
"Sodankylä Tähtelä","2017","11","02","06:20","7"
"Sodankylä Tähtelä","2017","11","02","06:30","7"
"Sodankylä Tähtelä","2017","11","02","06:40","7"
"Sodankylä Tähtelä","2017","11","02","06:50","7"
"Sodankylä Tähtelä","2017","11","02","07:00","7"
"Sodankylä Tähtelä","2017","11","02","07:10","7"
"Sodankylä Tähtelä","2017","11","02","07:20","7"
"Sodankylä Tähtelä","2017","11","02","07:30","7"
"Sodankylä Tähtelä","2017","11","02","07:40","7"
"Sodankylä Tähtelä","2017","11","02","07:50","7"
"Sodankylä Tähtelä","2017","11","02","08:00","7"
"Sodankylä Tähtelä","2017","11","02","08:10","7"
"Sodankylä Tähtelä","2017","11","02","08:20","7"
"Sodankylä Tähtelä","2017","11","02","08:30","7"
"Sodankylä Tähtelä","2017","11","02","08:40","7"
"Sodankylä Tähtelä","2017","11","02","08:50","7"
"Sodankylä Tähtelä","2017","11","02","09:00","7"
"Sodankylä Tähtelä","2017","11","02","09:10","7"
"Sodankylä Tähtelä","2017","11","02","09:20","7"
"Sodankylä Tähtelä","2017","11","02","09:30","7"
"Sodankylä Tähtelä","2017","11","02","09:40","7"
"Sodankylä Tähtelä","2017","11","02","09:50","7"
"Sodankylä Tähtelä","2017","11","02","10:00","7"
"Sodankylä Tähtelä","2017","11","02","10:10","7"
"Sodankylä Tähtelä","2017","11","02","10:20","7"
"Sodankylä Tähtelä","2017","11","02","10:30","7"
"Sodankylä Tähtelä","2017","11","02","10:40","7"
"Sodankylä Tähtelä","2017","11","02","10:50","7"
"Sodankylä Tähtelä","2017","11","02","11:00","7.9"
"Sodankylä Tähtelä","2017","11","02","11:10","8"
"Sodankylä Tähtelä","2017","11","02","11:20","8"
"Sodankylä Tähtelä","2017","11","02","11:30","9"
"Sodankylä Tähtelä","2017","11","02","11:40","9"
"Sodankylä Tähtelä","2017","11","02","11:50","9"
"Sodankylä Tähtelä","2017","11","02","12:00","9"
"Sodankylä Tähtelä","2017","11","02","12:10","10"
"Sodankylä Tähtelä","2017","11","02","12:20","10"
"Sodankylä Tähtelä","2017","11","02","12:30","10"
"Sodankylä Tähtelä","2017","11","02","12:40","10"
"Sodankylä Tähtelä","2017","11","02","12:50","10.4"
"Sodankylä Tähtelä","2017","11","02","13:00","11"
"Sodankylä Tähtelä","2017","11","02","13:10","11"
"Sodankylä Tähtelä","2017","11","02","13:20","11"
"Sodankylä Tähtelä","2017","11","02","13:30","11"
"Sodankylä Tähtelä","2017","11","02","13:40","11"
"Sodankylä Tähtelä","2017","11","02","13:50","11"
"Sodankylä Tähtelä","2017","11","02","14:00","11"
"Sodankylä Tähtelä","2017","11","02","14:10","11"
"Sodankylä Tähtelä","2017","11","02","14:20","11"
"Sodankylä Tähtelä","2017","11","02","14:30","10.8"
"Sodankylä Tähtelä","2017","11","02","14:40","10.1"
"Sodankylä Tähtelä","2017","11","02","14:50","10.4"
"Sodankylä Tähtelä","2017","11","02","15:00","10"
"Sodankylä Tähtelä","2017","11","02","15:10","10.4"
"Sodankylä Tähtelä","2017","11","02","15:20","11"
